url,address,name,rate,votes,phone,location,rest_type,dish_liked,cuisines,review_list
https://www.zomato.com/bangalore/spice-elephant-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwxODM3NTQ3NCwiNTkwOTAiLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,2nd Floor 80 Feet Road Near Big Bazaar 6th Block Kathriguppe 3rd Stage Banashankari Bangalore,Spice Elephant,4.1/5,787,,Banashankari,Casual Dining,Momos  Lunch Buffet  Chocolate Nirvana  Thai Green Curry  Paneer Tikka  Dum Biryani  Chicken Biryani,Chinese  North Indian  Thai,    Rated 4 0    RATED n  Had been here for dinner with family  Turned out to be a good choose suitable for all ages of people  Can try this place  We liked the most was their starters  Service is good  Prices are affordable  Will recommend this restaurant for early dinner  The place is little noisy       Rated 3 0    RATED n  The ambience is really nice  staff is courteous  The price is pretty high for the quantity  but overall the experience was fine  The quality of food is nice but nothing extraordinary  They also have buffet only veg       Rated 3 0    RATED n  I felt good is little expensive for the quantity they serve and In terms of taste is decent  There is nothing much to talk about the ambience  regular casual dining restaurant where you can take your family for dinner or lunch  If they improve on that quantity or may be reduce the price a bit or may be improve the presentation of the food it might Manage to get more repeat customers       Rated 4 0    RATED n  I was looking for a quite place to spend some time with family and as well wanted to try some new place  Since I was at Banashankari I thought of trying this place  The place had good rating and was part of Zomato gold  So I decided to try this place  It was a delite to see a very friendly staff and food we ordered was very tasty as well  n nFood   4 5 nAmbience  3 5 nFriendly staff   4 5 nPocket friendly   4 5 n nWill definitely visit again         Rated 4 0     RATED n  Nice place to dine and has a good ambiance    Food is good and the serving time is also good  neat restrooms and we ll arranged tables    only thing is we went at 12 30 for lunch   and we noticed that they kept on playing one music back to back which was a little annoying    n n1  Chicken biriyani was so good and the chicken was fresh and tender 
https://www.zomato.com/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLDU5MDkwLCIxODM4Mjk0NCIsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,1112 Next to KIMS Medical College 17th Cross 2nd Stage Banashankari Bangalore,San Churro Cafe,3.8/5,918,,Banashankari,"Cafe, Casual Dining",Churros  Cannelloni  Minestrone Soup  Hot Chocolate  Pink Sauce Pasta  Salsa  Veg Supreme Pizza,Cafe  Mexican  Italian,    Rated 3 0     RATED n  Ambience is not that good enough and it s not a pocket friendly cafe and the quantity is not that good and desserts are too good enough        
https://www.zomato/bangalore/addhuri-udupi-bhojana-banashankari?context=eyJzZSI6eyJlIjpbIjU4Njk0IiwiMTgzNzU0NzQiLCI1OTA5MCIsMTgzODI5NDQsIjE4MjI0Njc2IiwiNTkyODkiLCIxODM3MzM4NiJdLCJ0IjoiUmVzdGF1cmFudHMgaW4gQmFuYXNoYW5rYXJpIHNlcnZpbmcgQnVmZmV0In19,1st Floor Annakuteera 3rd Stage Banashankari Bangalore,Addhuri Udupi Bhojana,3.7/5,88,,Banashankari,Quick Bites,Masala Dosa,South Indian  North Indian,    Rated 4 0     RATED n  Great food and proper Karnataka style full meals  Been there twice and was fully satisfied   Will give 5 stars if it s well managed               
https://www.zomato.com/bangalore/cafe-shuffle-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTY1Njc5IiwiMTg1OTMwNDQiLCIxODE0ODk0MSIsIjE4NDcwNzcxIiwxODcxNjA2MSwiMTg2MzI5NzciLCIxODIwMjk5NyIsIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==,941 3rd FLOOR 21st Main 22nd Cross Banashankari 2nd stage Opposite to BDA complex Banashankari,Cafe Shuffle,4.2/5,150,,Banashankari,Cafe,Mocktails  Peri Fries  Lasagne  Pizza  Chicken Bbq Wings  Virgin Mojito  Nachos,Cafe  Italian  Continental,    Rated 1 0     RATED n  n nHorrible  Not even kidding  We ordered BBQ chicken wings and chef s special pizza  They gave undercooked chicken wings and the sauce on it was not even BBQ sauce  It was some local sauce with little spices in it  Pizza hardly had toppings on it  Staffs were so irresponsible  We had to tell them to give us the plates and cups after waiting for so long time   Also food delivery is so late  You order it now
https://www.zomato.com/bangalore/the-coffee-shack-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTkzMDQ0IiwiMTgxNDg5NDEiLCIxODQ3MDc3MSIsIjE4NzE2MDYxIiwxODYzMjk3NywiMTgyMDI5OTciLCI1OTA5MCIsIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,6th Block 3rd Stage Banashankari Bangalore,The Coffee Shack,4.2/5,164,,Banashankari,Cafe,Coffee  Spaghetti  Pancakes  Nachos  Pasta  Sandwich  Garlic Bread,Cafe  Chinese  Continental  Italian,    Rated 4 0     RATED n  Food   4 5 nAmbience   3 5 5 nService   3 5 n nEasily the best caf   x83   x83   x82   x83   x83   x82   x82     in the neighborhood and possibly the only one not including the CCD s that you find at the end of every road  nAppears to be a popular place for smokers to chill at
https://www.zomato.com/bangalore/caf-eleven-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4MTQ4OTQxIiwiMTg0NzA3NzEiLCIxODcxNjA2MSIsIjE4NjMyOTc3IiwxODIwMjk5NywiNTkwOTAiLCIxODU1OTIxMSIsIjE4MzIzNjM5IiwiMTg1NzQyNzciLCIxODcyMzQ5NCIsIjE4ODY3MTIyIiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,111 Sapphire Toys Building 100 Feet Ring Road Banashankari Bangalore,Caf-Eleven,4.0/5,424,,Banashankari,Cafe,Sandwich  Omelette  Ice Tea  Virgin Mojito  Hot Chocolate  Pasta Arrabiata  Hazelnut Cappuccino,Cafe  Continental,    Rated 2 0     RATED n  This is a hookah cafe  It was not mentioned anywhere in the page that it was a hookah place  There s also no separate seating for non smokers  Horrible ambience  Ppl including waiters smoking hookah everywhere  I m never gonna visit this place again  Also
https://www.zomato/SanchurroBangalore?context=eyJzZSI6eyJlIjpbIjE4NDcwNzcxIiwiMTg3MTYwNjEiLCIxODYzMjk3NyIsIjE4MjAyOTk3Iiw1OTA5MCwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwiMTg1MjkwOTAiLCI1NjE2NiIsIjYwOTE5IiwiMTgzOTY3NjAiLCIxODU5MzUxOSIsIjE4NTAwMDIwIiwiMTg4NDQyNjAiLCI1Nzk5NCIsIjU1MDkwIiwiNTc0MzUiXSwidCI6IkNhZlx1MDBlOXMgYW5kIERlbGlzIGluIEJhbmFzaGFua2FyaSJ9fQ==,1112 Next to KIMS Medical College 17th Cross 2nd Stage Banashankari Bangalore,San Churro Cafe,3.8/5,918,,Banashankari,"Cafe, Casual Dining",Churros  Cannelloni  Minestrone Soup  Hot Chocolate  Pink Sauce Pasta  Salsa  Veg Supreme Pizza,Cafe  Mexican  Italian,    Rated 3 0     RATED n  Ambience is not that good enough and it s not a pocket friendly cafe and the quantity is not that good and desserts are too good enough        
https://www.zomato.com/bangalore/t3h-cafe-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjU5MDkwIiwiMTg1NTkyMTEiLCIxODMyMzYzOSIsIjE4NTc0Mjc3IiwxODcyMzQ5NCwiMTg4NjcxMjIiLCIxODY4ODQ4OSIsIjE4NTI5MDkwIiwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,504 CJ Venkata Das Road Padmanabhangar 2nd Stage Banashankari Bangalore,T3H Cafe,3.9/5,93,,Banashankari,Cafe,Cheese Maggi  Peri Peri Fries  Pasta Arrabiata,Cafe  Italian  American,    Rated 4 0     RATED n  Happy to see such a cafe nearby to our house  It s not in bsk actually  It s very much diagnolly opposite to nu hospital  kidney foundation  at Padmanabhanagar  This cafe is run by a couple and their family  They re really very polite and friendly  The prices are very reasonable and I recommend this place for people who like to spend time with their friends    I had coffee which is amazing  I had cheese Maggie and masala fries which were well presented and prepared as well  Content of the food is very sufficient and I request the management not reduce the quality and quantity of the food  And not to increase the prices as well  I wish them all the best and request them to maintain the taste of the food as it is       
https://www.zomato.com/bangalore/360-atoms-restaurant-and-cafe-banashankari-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTU5MjExIiwiMTgzMjM2MzkiLCIxODU3NDI3NyIsIjE4NzIzNDk0IiwxODg2NzEyMiwiMTg2ODg0ODkiLCIxODUyOTA5MCIsIjU2MTY2IiwiNjA5MTkiLCIxODM5Njc2MCIsIjE4NTkzNTE5IiwiMTg1MDAwMjAiLCIxODg0NDI2MCIsIjU3OTk0IiwiNTUwOTAiLCI1NzQzNSJdLCJ0IjoiQ2FmXHUwMGU5cyBhbmQgRGVsaXMgaW4gQmFuYXNoYW5rYXJpIn19,,360 Atoms Restaurant And Cafe,3.1/5,13,,Banashankari,Cafe,,Cafe  Chinese  Continental  Italian,   Rated 5 0    RATED n  Friendly staffs   nice ambience colourful lights   hanging skeletons reasonable price   nice music gud for group of friends enjoyed a lot             Rated 4 0    RATED n  Must experience  The service was impeccable We were made to feel welcome and dishes very reasonably priced  Before we had even finished our plates we were planning the next time we would eat here       Rated 4 0    RATED n  Hi    This is place to chill and experience different type of food  We recently visted and there was good treatment from staff n white sauce pasta   pizza   garlic bread stick  momos  was awesome  Great place       Rated 5 0    RATED n  Nice place to chill out and have a good time with friends  Nice ambience and good tasting food  n nGood selection of foods for both veg and non veg    
https://www.zomato/bangalore/woodee-pizza-banashankari?context=eyJzZSI6eyJlIjpbIjE4NTc0Mjc3IiwiMTg3MjM0OTQiLCIxODg2NzEyMiIsIjE4Njg4NDg5IiwxODUyOTA5MCwiNTYxNjYiLCI2MDkxOSIsIjE4Mzk2NzYwIiwiMTg1OTM1MTkiLCIxODUwMDAyMCIsIjE4ODQ0MjYwIiwiNTc5OTQiLCI1NTA5MCIsIjU3NDM1Il0sInQiOiJDYWZcdTAwZTlzIGFuZCBEZWxpcyBpbiBCYW5hc2hhbmthcmkifX0=,3353 2nd Cross Opposite Auden School Hoskerehalli Cross 3rd Stage Banashankari Bangalore,Woodee Pizza,3.7/5,180,,Banashankari,Cafe,Pizza  Garlic Bread,Cafe  Pizza  Fast Food  Beverages,    Rated 3 0    RATED n  Decided to take a break from my usual Pizza Parlour    And also coz I love the Pineapple and Jalape   x83   x83   x82   x83   x83   x82   x82    os combination that many pizza parlours don  t make  Having found one thst makes it I decided to give it a shot  n nTried their  nHot Golden Cake Pizza  Pineapple  Corn and Jalape   x83   x83   x82   x83   x83   x82   x82    os     don  t get fooled by the use of the term   cake    The pizza was very good     loads of cheese
